         19712 function calls (18393 primitive calls) in 0.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:605(parse_math2)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:616(parse_pow)
    25/12    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:626(parse_unary)
       10    0.000    0.000    0.004    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:481(c)
       10    0.000    0.000    0.004    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.py:250(compile)
       10    0.000    0.000    0.004    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/re.py:289(_compile)
        4    0.000    0.000    0.004    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:165(parse_statement)
        4    0.000    0.000    0.004    0.001 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:341(parse_include)
        9    0.000    0.000    0.004    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py:759(compile)
       12    0.000    0.000    0.003    0.000 /Users/bryceharmon/Desktop/nextreel-lite/templates/header.html:4(root)
       27    0.000    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.003    0.003 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/__init__.py:70(search_function)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       25    0.000    0.000    0.003    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:644(parse_primary)
        5    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:698(_compile)
        5    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        9    0.000    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:937(parse)
        5    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:442(blockvisit)
     34/9    0.000    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:435(_parse_sub)
    57/10    0.001    0.000    0.002    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:493(_parse)
      963    0.001    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:167(iter_child_nodes)
